name,category,protein_per_100g,carbs_per_100g,fat_per_100g,calories_per_100g
Chicken thigh,,27.5,0,5.6,160.4
Chicken breast ,,31,0,3.6,156.4
Rump steak ,,22,0,4.1,124.9
Extra lean mince ,,21.3,0.2,5,131
Grilled Sirloin steak,,19.8,0.8,13.9,207.5
Salmon ,,23.4,0.5,7.5,163.1
Prawns ,,15,0,1,69
Barramundi ,,19.3,0,1.5,90.7
Whole Egg,,6.3,0.4,4.8,70
Egg Whites 1=100,,3.6,0.2,0.1,16.1
Short cut bacon ,,16.3,1.3,9.2,153.2
Tuna Can Spring water (95g),,17.7,0,0.7,77.1
Tuna Can Olive Oil (95g),,18,0,7.7,141.3
Chobani Greek yogurt (plain),,9.7,4.2,0.2,57.4
turkey mince (coles),,19.5,0.4,6.1,134.5

White potato (raw),,2,17,0.1,76.9
Sweet potato (raw),,1.6,20,0.1,87.3
Jasmine Rice,,2,22.4,0.1,98.5
Brown Rice ,,2.6,23,0.9,110.5
Quick oats ,,12.7,54.7,9.3,353.3
Bannana,,1.1,22.8,0.3,98.3
Blue Berries ,,1,13.4,0.7,63.9
Apple ,,0.5,25.1,0.3,105.1
Strawberries ,,0.7,7.7,0.3,36.3
Pineapple,,0.5,13.1,0.1,55.3
Rice cakes (thick)   1 ,,1.1,9.9,0.3,46.7
English muffin (wholemeal) tiptop,,5.4,19.5,1.3,111.3
English muffin tiptop ,,4.8,23.5,1.4,125.8
Whole meal bread (tip top) (2 slices),,27.4,2.3,7.2,183.6
low carb wrap (mission),,7.5,11.3,4.6,116.6
Simmons low carb/high protien wrap ,,13.6,8.9,6.5,148.5
spud lite ,,1.4,8.9,0.1,42.1
Cocopops ,,4.7,88.3,2.7,396.3
Natural Confectionery Snakes,,0.3,6.7,0,28
cobs popcorn (sea salt),,10.9,51.6,24.6,471.4

Baby Spinach ,,2.7,0,0,10.8
Broccoli ,,4.7,0.4,0.3,23.1
Zucchini ,,1.2,0.3,0.3,8.7
Red Capsicum,,1.5,3.5,0.2,21.8
Red onion,,1.1,9.3,0.1,42.5
Mushrooms (raw),,3.1,3.3,0.3,28.3
Asparagus,,0.4,0.6,0,4
Tomato ,,0.9,3.9,0.2,21
Cucumber ,,0.6,3.6,0.1,17.7
Red Kidney beans (edgell),,7.7,14.4,0.8,95.6
kent pumpkin ,,1,8,0,36
Avocado ,,2,8.5,14.7,174.3
Cherry tomatoes 10,,1.5,6.6,0.3,35.1
Almonds,,21.1,21.5,49.9,619.5
Tofu ,,8.2,2.4,4.7,84.7
chickpea (coles),,6.5,15.8,2.6,112.6
lenties (coles),,7.7,8.2,0.3,66.3
Coles No Added Sugar Dark Chocolate,,3.8,2.4,22.6,228.2
Mayver's Peanut butter ,,25,13.5,49,595
